mouse_strain;experiment_ID;sample_type;timepoint;mouse_ID;treatment;frequency_live_bacteria_%;experimental_day;counts_live_bacteria_per_wet_g;mouse_age_days;mouse_sex
NOD;AG6-222;fecal;treatment_day4;ABX110;placebo;85.56;-3;1.78E+06;18;male
NOD;AG6-222;fecal;treatment_day4;ABX111;ABX;28.8;-3;2.30E+01;18;male
NOD;AG6-222;fecal;treatment_day4;ABX112;placebo;6.75;-3;7.17E+04;18;male
NOD;AG6-222;fecal;treatment_day4;ABX113;ABX;21.41;-3;1.24E+01;18;male
NOD;AG6-222;fecal;treatment_day4;ABX114;placebo;97.58;-3;4.88E+05;18;male
NOD;AG6-222;fecal;treatment_day4;ABX115;ABX;60.99;-3;4.65E+01;18;male
NOD;AG6-222;fecal;treatment_day4;ABX116;placebo;70.18;-3;9.57E+04;18;male
NOD;AG6-222;fecal;treatment_day4;ABX117;ABX;64.06;-3;1.19E+02;18;male
NOD;AG6-222;fecal;treatment_day4;ABX118;placebo;36.82;-3;9.10E+05;18;male
NOD;AG6-222;fecal;treatment_day4;ABX119;ABX;32.24;-3;1.59E+01;18;male
NOD;AG6-222;fecal;treatment_day4;ABX120;placebo;18.6;-3;9.08E+04;18;male
NOD;AG6-222;fecal;treatment_day4;ABX121;ABX;23.18;-3;9.36E+00;18;male
NOD;AG6-222;fecal;treatment_day4;ABX122;placebo;2.97;-3;2.46E+04;18;male
NOD;AG6-222;fecal;treatment_day4;ABX123;ABX;94.83;-3;1.30E+02;18;male
NOD;AG6-222;fecal;treatment_day4;ABX124;placebo;68.41;-3;3.85E+05;18;male
NOD;AG6-222;fecal;treatment_day4;ABX125;ABX;22.44;-3;8.87E+01;18;male
NOD;AG6-222;fecal;treatment_day4;ABX126;placebo;57.17;-3;5.51E+05;18;male
NOD;AG6-222;fecal;treatment_day4;ABX127;ABX;91.86;-3;7.03E+01;18;male
NOD;AG6-222;fecal;treatment_day4;ABX128;placebo;81.37;-3;2.99E+06;18;male
NOD;AG6-222;fecal;treatment_day4;ABX129;ABX;17.49;-3;1.41E+01;18;male
NOD;AG6-222;fecal;treatment_day4;ABX130;placebo;29.57;-3;1.88E+04;18;male
NOD;AG6-222;fecal;treatment_day4;ABX131;ABX;99.55;-3;1.47E+01;18;male
NOD;AG6-222;fecal;treatment_day4;ABX132;placebo;47.76;-3;2.00E+06;18;male
NOD;AG6-222;fecal;treatment_day4;ABX133;ABX;83.54;-3;5.69E+00;18;male
NOD;AG6-222;fecal;treatment_day4;ABX134;placebo;77.17;-3;2.72E+06;18;male
NOD;AG6-222;fecal;treatment_day4;ABX135;ABX;64.1;-3;5.56E+01;18;male
NOD;AG6-222;fecal;treatment_day4;ABX136;placebo;50.13;-3;5.26E+05;18;male
NOD;AG6-222;fecal;treatment_day4;ABX137;ABX;65.65;-3;1.11E+01;18;male
NOD;AG6-222;fecal;treatment_day4;ABX138;placebo;3.55;-3;1.56E+06;18;male
NOD;AG6-222;fecal;treatment_day4;ABX139;ABX;99.75;-3;7.33E+00;18;male
NOD;AG6-222;fecal;treatment_day4;ABX140;placebo;51.3;-3;3.30E+04;18;male
NOD;AG6-222;fecal;treatment_day4;ABX141;ABX;14.24;-3;9.54E+00;18;male
NOD;AG6-222;fecal;treatment_day4;ABX142;placebo;84.41;-3;4.32E+05;18;male
NOD;AG6-222;fecal;treatment_day4;ABX143;ABX;0.56;-3;2.58E+01;18;male
NOD;AG6-222;fecal;treatment_day4;ABX144;placebo;70.81;-3;1.11E+06;18;male
NOD;AG6-222;fecal;treatment_day4;ABX145;ABX;31.71;-3;3.17E+01;18;male
NOD;AG6-222;fecal;treatment_day4;ABX146;placebo;78.22;-3;1.26E+05;18;male
NOD;AG6-222;fecal;treatment_day4;ABX147;ABX;4.6;-3;1.55E+01;18;male
NOD;AG6-222;fecal;treatment_day4;ABX148;placebo;28.76;-3;3.48E+06;18;male
NOD;AG6-222;fecal;treatment_day4;ABX149;ABX;8.03;-3;1.19E+02;18;male
NOD;AG6-222;fecal;treatment_day4;ABX150;placebo;0.18;-3;1.46E+06;18;male
NOD;AG6-222;fecal;treatment_day4;ABX151;ABX;86.81;-3;5.15E+00;18;male
NOD;AG6-222;fecal;treatment_day4;ABX152;placebo;71.73;-3;1.81E+05;18;male
NOD;AG6-222;fecal;treatment_day4;ABX153;ABX;19.16;-3;4.24E+01;18;male
NOD;AG6-222;fecal;treatment_day4;ABX154;placebo;62.52;-3;5.77E+05;18;male
NOD;AG6-222;fecal;treatment_day4;ABX155;ABX;63.86;-3;6.41E+01;18;male
NOD;AG6-222;fecal;treatment_day4;ABX156;placebo;62.35;-3;1.50E+06;18;male
NOD;AG6-222;fecal;treatment_day4;ABX157;ABX;71.57;-3;1.28E+02;18;male
NOD;AG6-222;fecal;treatment_day4;ABX158;placebo;64.99;-3;1.18E+05;18;male
NOD;AG6-222;fecal;treatment_day4;ABX159;ABX;71.43;-3;6.07E+00;18;male
NOD;AG6-222;fecal;treatment_day4;ABX160;placebo;20.24;-3;2.13E+04;18;male
NOD;AG6-222;fecal;treatment_day4;ABX161;ABX;34.86;-3;1.20E+02;18;male
NOD;AG6-222;fecal;treatment_day4;ABX162;placebo;20.38;-3;8.11E+05;18;male
NOD;AG6-222;fecal;treatment_day4;ABX163;ABX;39.48;-3;1.06E+02;18;male
NOD;AG6-222;fecal;treatment_day4;ABX164;placebo;59.44;-3;1.78E+06;18;male
NOD;AG6-222;fecal;treatment_day4;ABX165;ABX;8.19;-3;1.46E+01;18;male
NOD;AG6-222;fecal;treatment_day4;ABX166;placebo;81.18;-3;5.24E+05;18;male
NOD;AG6-222;fecal;treatment_day4;ABX167;ABX;51.19;-3;1.60E+01;18;male
NOD;AG6-222;fecal;treatment_day4;ABX168;placebo;5.59;-3;6.98E+04;18;male
NOD;AG6-222;fecal;treatment_day4;ABX169;ABX;96.16;-3;4.96E+00;18;male
NOD;AG6-222;fecal;treatment_day4;ABX170;placebo;70.5;-3;2.61E+06;18;male
NOD;AG6-222;fecal;treatment_day4;ABX171;ABX;47.36;-3;8.78E+01;18;male
NOD;AG6-222;fecal;treatment_day4;ABX172;placebo;94.79;-3;6.28E+04;18;male
NOD;AG6-222;fecal;treatment_day4;ABX173;ABX;83.53;-3;1.64E+01;18;male
NOD;AG6-222;fecal;treatment_day4;ABX174;placebo;11.41;-3;2.53E+04;18;male
NOD;AG6-222;fecal;treatment_day4;ABX175;ABX;9.64;-3;6.59E+01;18;male
NOD;AG6-222;fecal;treatment_day4;ABX176;placebo;12.79;-3;8.40E+05;18;male
NOD;AG6-222;fecal;treatment_day4;ABX177;ABX;49.73;-3;1.29E+02;18;male
NOD;AG6-222;fecal;treatment_day4;ABX178;placebo;60.35;-3;1.13E+05;18;male
NOD;AG6-222;fecal;treatment_day4;ABX179;ABX;65.99;-3;2.02E+01;18;male
NOD;AG6-222;fecal;treatment_day4;ABX180;placebo;20.91;-3;4.33E+06;18;male
NOD;AG6-222;fecal;treatment_day4;ABX181;ABX;30.65;-3;5.35E+00;18;male
NOD;AG6-222;fecal;treatment_day4;ABX182;placebo;79.33;-3;6.22E+04;18;male
NOD;AG6-222;fecal;treatment_day4;ABX183;ABX;66.86;-3;1.30E+02;18;male
NOD;AG6-222;fecal;treatment_day4;ABX184;placebo;58.59;-3;6.73E+04;18;male
NOD;AG6-222;fecal;treatment_day4;ABX185;ABX;84.9;-3;5.42E+01;18;male
NOD;AG6-222;fecal;treatment_day4;ABX186;placebo;46.03;-3;8.47E+05;18;male
NOD;AG6-222;fecal;treatment_day4;ABX187;ABX;21.87;-3;4.40E+01;18;male
NOD;AG6-222;fecal;treatment_day4;ABX188;placebo;44.04;-3;3.91E+04;18;male
NOD;AG6-222;fecal;treatment_day4;ABX189;ABX;38.51;-3;2.98E+01;18;male
NOD;AG6-222;fecal;treatment_day4;ABX190;placebo;37.16;-3;3.30E+06;18;male
NOD;AG6-222;fecal;treatment_day4;ABX191;ABX;18.41;-3;4.33E+01;18;male
NOD;AG6-222;fecal;treatment_day4;ABX192;placebo;99.47;-3;1.76E+06;18;male
NOD;AG6-222;fecal;treatment_day4;ABX193;ABX;6.77;-3;9.22E+00;18;male
NOD;AG6-222;fecal;treatment_day4;ABX194;placebo;18.37;-3;5.37E+06;18;male
NOD;AG6-222;fecal;treatment_day4;ABX195;ABX;11.39;-3;1.23E+02;18;male
NOD;AG6-222;fecal;treatment_day4;ABX196;placebo;24.28;-3;5.92E+05;18;male
NOD;AG6-222;fecal;treatment_day4;ABX197;ABX;46.7;-3;5.81E+00;18;male
NOD;AG6-222;fecal;treatment_day4;ABX198;placebo;11.59;-3;8.06E+05;18;male
NOD;AG6-222;fecal;treatment_day4;ABX199;ABX;75.33;-3;2.11E+01;18;male
NOD;AG6-222;fecal;treatment_day4;ABX200;placebo;27.37;-3;8.34E+04;18;male
NOD;AG6-222;fecal;treatment_day4;ABX201;ABX;52.71;-3;4.87E+00;18;male
NOD;AG6-222;fecal;treatment_day4;ABX202;placebo;37.74;-3;6.14E+06;18;male
NOD;AG6-222;fecal;treatment_day4;ABX203;ABX;52.15;-3;1.21E+02;18;male
NOD;AG6-222;fecal;treatment_day4;ABX204;placebo;32.75;-3;4.46E+06;18;male
NOD;AG6-222;fecal;treatment_day4;ABX205;ABX;90.94;-3;1.92E+01;18;male
NOD;AG6-222;fecal;treatment_day4;ABX206;placebo;90.88;-3;9.78E+04;18;male
NOD;AG6-222;fecal;treatment_day4;ABX207;ABX;94.56;-3;2.67E+01;18;male
NOD;AG6-222;fecal;treatment_day4;ABX208;placebo;47.29;-3;1.34E+05;18;male
NOD;AG6-222;fecal;treatment_day4;ABX209;ABX;34.93;-3;1.28E+01;18;male
NOD;AG6-222;fecal;treatment_day4;ABX210;placebo;72.53;-3;7.85E+04;18;male
NOD;AG6-222;fecal;treatment_day4;ABX211;ABX;49.22;-3;1.17E+02;18;male
NOD;AG6-222;fecal;treatment_day4;ABX212;placebo;84.43;-3;7.95E+05;18;male
NOD;AG6-222;fecal;treatment_day4;ABX213;ABX;26.33;-3;1.09E+02;18;male
NOD;AG6-222;fecal;treatment_day4;ABX214;placebo;27.97;-3;5.92E+05;18;male
NOD;AG6-222;fecal;treatment_day4;ABX215;ABX;68.58;-3;1.34E+01;18;male
NOD;AG6-222;fecal;treatment_day4;ABX216;placebo;12.31;-3;3.15E+04;18;male
NOD;AG6-222;fecal;treatment_day4;ABX217;ABX;19.05;-3;1.34E+02;18;male
NOD;AG6-222;fecal;treatment_day4;ABX218;placebo;43.71;-3;1.08E+06;18;male
NOD;AG6-222;fecal;treatment_day4;ABX219;ABX;18.29;-3;1.36E+01;18;male
NOD;AG6-222;fecal;treatment_day4;ABX220;placebo;64.58;-3;4.44E+05;18;male
NOD;AG6-222;fecal;treatment_day4;ABX221;ABX;7.25;-3;4.14E+00;18;male
NOD;AG6-222;fecal;treatment_day4;ABX222;placebo;53.02;-3;1.36E+06;18;male
NOD;AG6-222;fecal;treatment_day4;ABX223;ABX;30.1;-3;6.39E+01;18;male
NOD;AG6-222;fecal;treatment_day4;ABX224;placebo;95.88;-3;1.60E+06;18;male
NOD;AG6-222;fecal;treatment_day4;ABX225;ABX;49.27;-3;1.12E+02;18;male
NOD;AG6-222;fecal;treatment_day4;ABX226;placebo;16.34;-3;4.09E+06;18;male
NOD;AG6-222;fecal;treatment_day4;ABX227;ABX;15.79;-3;1.58E+01;18;male
NOD;AG6-222;fecal;treatment_day4;ABX228;placebo;18.02;-3;6.78E+05;18;male
NOD;AG6-222;fecal;treatment_day4;ABX229;ABX;21.14;-3;3.42E+01;18;male
NOD;AG6-222;fecal;treatment_day4;ABX230;placebo;34.23;-3;2.85E+06;18;male
NOD;AG6-222;fecal;treatment_day4;ABX231;ABX;37.05;-3;5.36E+00;18;male
NOD;AG6-222;fecal;treatment_day4;ABX232;placebo;30.04;-3;9.01E+04;18;male
NOD;AG6-222;fecal;treatment_day4;ABX233;ABX;53.66;-3;1.91E+01;18;male
NOD;AG6-222;fecal;treatment_day4;ABX234;placebo;94.14;-3;1.64E+04;18;male
NOD;AG6-222;fecal;treatment_day4;ABX235;ABX;13.54;-3;7.65E+00;18;male
NOD;AG6-222;fecal;treatment_day4;ABX236;placebo;28.39;-3;1.67E+06;18;male
NOD;AG6-222;fecal;treatment_day4;ABX237;ABX;54.56;-3;4.61E+00;18;male
NOD;AG6-222;fecal;treatment_day4;ABX238;placebo;3.57;-3;1.39E+05;18;male
NOD;AG6-222;fecal;treatment_day4;ABX239;ABX;58.27;-3;5.28E+00;18;male
NOD;AG6-222;fecal;treatment_day4;ABX240;placebo;17.77;-3;4.75E+06;18;male
NOD;AG6-222;fecal;treatment_day4;ABX241;ABX;61.63;-3;1.59E+01;18;male
NOD;AG6-222;fecal;treatment_day4;ABX242;placebo;62.37;-3;1.40E+05;18;male
NOD;AG6-222;fecal;treatment_day4;ABX243;ABX;81.55;-3;2.18E+01;18;male
NOD;AG6-222;fecal;treatment_day4;ABX244;placebo;28.86;-3;4.74E+05;18;male
NOD;AG6-222;fecal;treatment_day4;ABX245;ABX;97.19;-3;2.66E+01;18;male
NOD;AG6-222;fecal;treatment_day4;ABX246;placebo;22.73;-3;2.43E+05;18;male
NOD;AG6-222;fecal;treatment_day4;ABX247;ABX;19.71;-3;1.16E+02;18;male
NOD;AG6-222;fecal;treatment_day4;ABX248;placebo;39.52;-3;4.53E+06;18;male
NOD;AG6-222;fecal;treatment_day4;ABX249;ABX;68.64;-3;8.84E+00;18;male
NOD;AG6-222;fecal;treatment_day4;ABX250;placebo;40.8;-3;1.41E+04;18;male
NOD;AG6-222;fecal;treatment_day4;ABX251;ABX;48.2;-3;1.13E+02;18;male
NOD;AG6-222;fecal;treatment_day4;ABX252;placebo;37.07;-3;1.84E+06;18;male
NOD;AG6-222;fecal;treatment_day4;ABX253;ABX;17.62;-3;1.41E+01;18;male
NOD;AG6-222;fecal;treatment_day4;ABX254;placebo;82.61;-3;4.70E+04;18;male
NOD;AG6-222;fecal;treatment_day4;ABX255;ABX;47.9;-3;1.36E+02;18;male
NOD;AG6-222;fecal;treatment_day4;ABX256;placebo;44.35;-3;5.10E+06;18;male
NOD;AG6-222;fecal;treatment_day4;ABX257;ABX;49.6;-3;5.60E+00;18;female
NOD;AG6-222;fecal;treatment_day4;ABX258;placebo;76.28;-3;1.49E+04;18;female
NOD;AG6-222;fecal;treatment_day4;ABX259;ABX;59.03;-3;1.31E+01;18;female
NOD;AG6-222;fecal;treatment_day4;ABX260;placebo;37.32;-3;1.40E+05;18;female
NOD;AG6-222;fecal;treatment_day4;ABX261;ABX;59.16;-3;7.40E+00;18;female
NOD;AG6-222;fecal;treatment_day4;ABX262;placebo;58.4;-3;1.71E+05;18;female
NOD;AG6-222;fecal;treatment_day4;ABX263;ABX;28.38;-3;1.02E+02;18;female
NOD;AG6-222;fecal;treatment_day4;ABX264;placebo;49.43;-3;1.75E+04;18;female
NOD;AG6-222;fecal;treatment_day4;ABX265;ABX;51.37;-3;5.03E+01;18;female
NOD;AG6-222;fecal;treatment_day4;ABX266;placebo;66.56;-3;4.79E+04;18;female
NOD;AG6-222;fecal;treatment_day4;ABX267;ABX;55.99;-3;4.94E+00;18;female
NOD;AG6-222;fecal;treatment_day4;ABX268;placebo;92.77;-3;3.18E+05;18;female
NOD;AG6-222;fecal;treatment_day4;ABX269;ABX;77.01;-3;4.59E+01;18;female
NOD;AG6-222;fecal;treatment_day4;ABX270;placebo;4.86;-3;6.64E+06;18;female
NOD;AG6-222;fecal;treatment_day4;ABX271;ABX;2.34;-3;4.37E+00;18;female
NOD;AG6-222;fecal;treatment_day4;ABX272;placebo;9.02;-3;8.71E+05;18;female
NOD;AG6-222;fecal;treatment_day4;ABX273;ABX;4.18;-3;1.70E+01;18;female
NOD;AG6-222;fecal;treatment_day4;ABX274;placebo;51.86;-3;8.77E+03;18;female
NOD;AG6-222;fecal;treatment_day4;ABX275;ABX;6.92;-3;1.25E+02;18;female
NOD;AG6-222;fecal;treatment_day4;ABX276;placebo;43.0;-3;6.76E+05;18;female
NOD;AG6-222;fecal;treatment_day4;ABX277;ABX;72.36;-3;1.07E+02;18;female
NOD;AG6-222;fecal;treatment_day4;ABX278;placebo;12.07;-3;7.50E+04;18;female
NOD;AG6-222;fecal;treatment_day4;ABX279;ABX;89.86;-3;3.82E+01;18;female
NOD;AG6-222;fecal;treatment_day4;ABX280;placebo;31.82;-3;2.00E+06;18;female
NOD;AG6-222;fecal;treatment_day4;ABX281;ABX;44.59;-3;8.97E+00;18;female
NOD;AG6-222;fecal;treatment_day4;ABX282;placebo;47.56;-3;1.09E+06;18;female
NOD;AG6-222;fecal;treatment_day4;ABX283;ABX;35.81;-3;3.41E+01;18;female
NOD;AG6-222;fecal;treatment_day4;ABX284;placebo;64.0;-3;1.40E+05;18;female
NOD;AG6-222;fecal;treatment_day4;ABX285;ABX;14.57;-3;7.66E+01;18;female
NOD;AG6-222;fecal;treatment_day4;ABX286;placebo;26.83;-3;6.82E+04;18;female
NOD;AG6-222;fecal;treatment_day4;ABX287;ABX;58.48;-3;9.63E+01;18;female
NOD;AG6-222;fecal;treatment_day4;ABX288;placebo;52.87;-3;1.67E+04;18;female
NOD;AG6-222;fecal;treatment_day4;ABX289;ABX;94.94;-3;4.43E+00;18;female
NOD;AG6-222;fecal;treatment_day4;ABX290;placebo;35.13;-3;1.38E+06;18;female
NOD;AG6-222;fecal;treatment_day4;ABX291;ABX;46.15;-3;5.87E+01;18;female
NOD;AG6-222;fecal;treatment_day4;ABX292;placebo;50.76;-3;2.99E+04;18;female
NOD;AG6-222;fecal;treatment_day4;ABX293;ABX;78.77;-3;1.08E+02;18;female
NOD;AG6-222;fecal;treatment_day4;ABX294;placebo;35.72;-3;4.46E+06;18;female
NOD;AG6-222;fecal;treatment_day4;ABX295;ABX;83.72;-3;2.45E+01;18;female
NOD;AG6-222;fecal;treatment_day4;ABX296;placebo;22.24;-3;1.06E+06;18;female
NOD;AG6-222;fecal;treatment_day4;ABX297;ABX;98.17;-3;4.64E+01;18;female
NOD;AG6-222;fecal;treatment_day4;ABX298;placebo;59.51;-3;6.26E+06;18;female
NOD;AG6-222;fecal;treatment_day4;ABX299;ABX;64.12;-3;5.92E+01;18;female
NOD;AG6-222;fecal;treatment_day4;ABX300;placebo;53.8;-3;9.81E+03;18;female
NOD;AG6-222;fecal;treatment_day4;ABX301;ABX;96.38;-3;2.82E+01;18;female
NOD;AG6-222;fecal;treatment_day4;ABX302;placebo;40.03;-3;9.96E+04;18;female
NOD;AG6-222;fecal;treatment_day4;ABX303;ABX;77.34;-3;3.31E+01;18;female
NOD;AG6-222;fecal;treatment_day4;ABX304;placebo;60.87;-3;1.73E+06;18;female
NOD;AG6-222;fecal;treatment_day4;ABX305;ABX;37.81;-3;7.63E+00;18;female
NOD;AG6-222;fecal;treatment_day4;ABX306;placebo;5.47;-3;7.70E+04;18;female
NOD;AG6-222;fecal;treatment_day4;ABX307;ABX;35.29;-3;1.04E+02;18;female
NOD;AG6-222;fecal;treatment_day4;ABX308;placebo;14.01;-3;3.97E+05;18;female
NOD;AG6-222;fecal;treatment_day4;ABX309;ABX;74.07;-3;1.00E+02;18;female
NOD;AG6-222;fecal;treatment_day4;ABX310;placebo;90.45;-3;1.98E+06;18;female
NOD;AG6-222;fecal;treatment_day4;ABX311;ABX;47.03;-3;5.99E+01;18;female
NOD;AG6-222;fecal;treatment_day4;ABX312;placebo;3.02;-3;1.59E+05;18;female
NOD;AG6-222;fecal;treatment_day4;ABX313;ABX;41.2;-3;7.16E+00;18;female
NOD;AG6-222;fecal;treatment_day4;ABX314;placebo;59.46;-3;3.75E+04;18;female
NOD;AG6-222;fecal;treatment_day4;ABX315;ABX;66.94;-3;1.42E+02;18;female
NOD;AG6-222;fecal;treatment_day4;ABX316;placebo;15.11;-3;1.88E+04;18;female
NOD;AG6-222;fecal;treatment_day4;ABX317;ABX;4.02;-3;1.07E+02;18;female
NOD;AG6-222;fecal;treatment_day4;ABX318;placebo;77.13;-3;3.92E+04;18;female
NOD;AG6-222;fecal;treatment_day4;ABX319;ABX;59.68;-3;1.06E+02;18;female
NOD;AG6-222;fecal;treatment_day4;ABX320;placebo;90.03;-3;5.67E+04;18;female
NOD;AG6-222;fecal;treatment_day4;ABX321;ABX;24.77;-3;7.98E+00;18;female
NOD;AG6-222;fecal;treatment_day4;ABX322;placebo;95.37;-3;8.71E+05;18;female
NOD;AG6-222;fecal;treatment_day4;ABX323;ABX;80.59;-3;3.72E+01;18;female
NOD;AG6-222;fecal;treatment_day4;ABX324;placebo;26.69;-3;2.91E+05;18;female
NOD;AG6-222;fecal;treatment_day4;ABX325;ABX;42.35;-3;1.00E+02;18;female
NOD;AG6-222;fecal;treatment_day4;ABX326;placebo;6.23;-3;1.92E+05;18;female
NOD;AG6-222;fecal;treatment_day4;ABX327;ABX;36.55;-3;5.28E+01;18;female
NOD;AG6-222;fecal;treatment_day4;ABX328;placebo;97.31;-3;2.97E+06;18;female
NOD;AG6-222;fecal;treatment_day4;ABX329;ABX;38.84;-3;4.82E+00;18;female
NOD;AG6-222;fecal;treatment_day4;ABX330;placebo;19.63;-3;2.59E+04;18;female
NOD;AG6-222;fecal;treatment_day4;ABX331;ABX;53.48;-3;8.38E+01;18;female
NOD;AG6-222;fecal;treatment_day4;ABX332;placebo;48.73;-3;2.57E+05;18;female
NOD;AG6-222;fecal;treatment_day4;ABX333;ABX;80.03;-3;2.16E+01;18;female
NOD;AG6-222;fecal;treatment_day4;ABX334;placebo;9.15;-3;5.03E+05;18;female
NOD;AG6-222;fecal;treatment_day4;ABX335;ABX;50.52;-3;7.56E+01;18;female
NOD;AG6-222;fecal;treatment_day4;ABX336;placebo;12.33;-3;1.33E+06;18;female
NOD;AG6-222;fecal;treatment_day4;ABX337;ABX;79.47;-3;9.45E+01;18;female
NOD;AG6-222;fecal;treatment_day4;ABX338;placebo;89.36;-3;8.84E+05;18;female
NOD;AG6-222;fecal;treatment_day4;ABX339;ABX;57.63;-3;1.31E+02;18;female
NOD;AG6-222;fecal;treatment_day4;ABX340;placebo;51.35;-3;1.27E+04;18;female
NOD;AG6-222;fecal;treatment_day4;ABX341;ABX;85.53;-3;9.37E+00;18;female
NOD;AG6-222;fecal;treatment_day4;ABX342;placebo;13.23;-3;1.32E+05;18;female
NOD;AG6-222;fecal;treatment_day4;ABX343;ABX;13.34;-3;4.62E+00;18;female
NOD;AG6-222;fecal;treatment_day4;ABX344;placebo;14.68;-3;7.45E+04;18;female
NOD;AG6-222;fecal;treatment_day4;ABX345;ABX;29.91;-3;4.95E+00;18;female
NOD;AG6-222;fecal;treatment_day4;ABX346;placebo;13.88;-3;7.59E+04;18;female
NOD;AG6-222;fecal;treatment_day4;ABX347;ABX;86.49;-3;2.63E+01;18;female
NOD;AG6-222;fecal;treatment_day4;ABX348;placebo;65.05;-3;2.38E+06;18;female
NOD;AG6-222;fecal;treatment_day4;ABX349;ABX;50.23;-3;1.80E+01;18;female
NOD;AG6-222;fecal;treatment_day4;ABX350;placebo;34.54;-3;2.49E+06;18;female
NOD;AG6-222;fecal;treatment_day4;ABX351;ABX;39.24;-3;8.40E+01;18;female
NOD;AG6-222;fecal;treatment_day4;ABX352;placebo;19.94;-3;4.81E+05;18;female
NOD;AG6-222;fecal;treatment_day4;ABX353;ABX;55.34;-3;1.47E+01;18;female
NOD;AG6-222;fecal;treatment_day4;ABX354;placebo;36.06;-3;1.28E+04;18;female
NOD;AG6-222;fecal;treatment_day4;ABX355;ABX;16.21;-3;1.26E+01;18;female
NOD;AG6-222;fecal;treatment_day4;ABX356;placebo;90.75;-3;4.75E+05;18;female
NOD;AG6-222;fecal;treatment_day4;ABX357;ABX;37.32;-3;6.18E+01;18;female
NOD;AG6-222;fecal;treatment_day4;ABX358;placebo;23.79;-3;4.45E+04;18;female
NOD;AG6-222;fecal;treatment_day4;ABX359;ABX;98.21;-3;5.04E+00;18;female
NOD;AG6-222;fecal;treatment_day4;ABX360;placebo;17.35;-3;8.03E+05;18;female
NOD;AG6-222;fecal;treatment_day4;ABX361;ABX;75.19;-3;2.49E+01;18;female
NOD;AG6-222;fecal;treatment_day4;ABX362;placebo;32.63;-3;1.64E+05;18;female
NOD;AG6-222;fecal;treatment_day4;ABX363;ABX;80.49;-3;5.65E+01;18;female
NOD;AG6-222;fecal;treatment_day4;ABX364;placebo;55.99;-3;2.93E+04;18;female
NOD;AG6-222;fecal;treatment_day4;ABX365;ABX;12.64;-3;1.46E+01;18;female
NOD;AG6-222;fecal;treatment_day4;ABX366;placebo;67.68;-3;6.57E+04;18;female
NOD;AG6-222;fecal;treatment_day4;ABX367;ABX;26.11;-3;6.27E+00;18;female
NOD;AG6-222;fecal;treatment_day4;ABX368;placebo;57.76;-3;4.26E+06;18;female
NOD;AG6-222;fecal;treatment_day4;ABX369;ABX;44.56;-3;3.56E+01;18;female
NOD;AG6-222;fecal;treatment_day4;ABX370;placebo;50.11;-3;3.30E+05;18;female
NOD;AG6-222;fecal;treatment_day4;ABX371;ABX;27.35;-3;8.74E+01;18;female
NOD;AG6-222;fecal;treatment_day4;ABX372;placebo;75.71;-3;1.86E+05;18;female
NOD;AG6-222;fecal;treatment_day4;ABX373;ABX;72.36;-3;6.09E+00;18;female
NOD;AG6-222;fecal;treatment_day4;ABX374;placebo;4.76;-3;8.16E+03;18;female
NOD;AG6-222;fecal;treatment_day4;ABX375;ABX;1.11;-3;8.65E+00;18;female
NOD;AG6-222;fecal;treatment_day4;ABX376;placebo;45.7;-3;1.77E+06;18;female
NOD;AG6-222;fecal;treatment_day4;ABX377;ABX;2.98;-3;4.30E+00;18;female
NOD;AG6-222;fecal;treatment_day4;ABX378;placebo;82.77;-3;1.49E+05;18;female
NOD;AG6-222;fecal;treatment_day4;ABX379;ABX;29.96;-3;1.04E+02;18;female
NOD;AG6-222;fecal;treatment_day4;ABX380;placebo;16.4;-3;2.81E+04;18;female
NOD;AG6-222;fecal;treatment_day4;ABX381;ABX;28.66;-3;2.69E+01;18;female
NOD;AG6-222;fecal;treatment_day4;ABX382;placebo;32.68;-3;7.72E+03;18;female
NOD;AG6-222;fecal;treatment_day4;ABX383;ABX;73.26;-3;4.00E+00;18;female
NOD;AG6-222;fecal;treatment_day4;ABX384;placebo;45.03;-3;7.38E+06;18;female
NOD;AG6-222;fecal;treatment_day4;ABX385;ABX;66.71;-3;1.63E+01;18;female
NOD;AG6-222;fecal;treatment_day4;ABX386;placebo;35.91;-3;2.35E+06;18;female
NOD;AG6-222;fecal;treatment_day4;ABX387;ABX;5.31;-3;9.33E+00;18;female
NOD;AG6-222;fecal;treatment_day4;ABX388;placebo;2.67;-3;2.54E+06;18;female
NOD;AG6-222;fecal;treatment_day4;ABX389;ABX;54.49;-3;8.69E+01;18;female
NOD;AG6-222;fecal;treatment_day4;ABX390;placebo;71.91;-3;2.46E+04;18;female
NOD;AG6-222;fecal;treatment_day4;ABX391;ABX;90.48;-3;6.26E+00;18;female
NOD;AG6-222;fecal;treatment_day4;ABX392;placebo;49.45;-3;5.08E+06;18;female
NOD;AG6-222;fecal;treatment_day4;ABX393;ABX;97.11;-3;5.88E+01;18;female
NOD;AG6-222;fecal;treatment_day4;ABX394;placebo;0.64;-3;2.06E+06;18;female
NOD;AG6-222;fecal;treatment_day4;ABX395;ABX;28.07;-3;1.81E+01;18;female
NOD;AG6-222;fecal;treatment_day4;ABX396;placebo;26.52;-3;3.06E+06;18;female
NOD;AG6-222;fecal;treatment_day4;ABX397;ABX;12.12;-3;3.20E+01;18;female
NOD;AG6-222;fecal;treatment_day4;ABX398;placebo;94.4;-3;1.94E+06;18;female
